Index,Property,Unit,Sq Ft,Bed Rooms,Program,Contract No.,Market Rent,Gross Rent,Contract Rent,RD Basic Rent,Subsidy,Tenant Rent,Utility Allowance,Optional Charges,TTP,Utility Reim.
0,Casa Pasiva LLC  (104casa),104-1A  ,927,3,Tax Credit,,1124.89,1095,0,0,0,1040,55,0,1095,0
1,Casa Pasiva LLC  (104casa),104-1B  ,951,3,Tax Credit,,1130.48,1130,0,0,0,1075,55,0,1130,0
2,Casa Pasiva LLC  (104casa),104-1C  ,689,2,,,1064.16,390,0,0,0,390,42,0,0,0
3,Casa Pasiva LLC  (104casa),104-1D  ,857,3,,,1950,0,0,0,0,0,55,0,0,0
4,Casa Pasiva LLC  (104casa),104-1E  ,674,2,Tax Credit,,955.02,879,0,0,0,837,42,0,879,0
5,Casa Pasiva LLC  (104casa),104-2A  ,715,2,,,0,0,0,0,0,0,42,0,0,0
6,Casa Pasiva LLC  (104casa),104-2B  ,665,2,,,1185.73,692,0,0,0,692,42,0,0,0
7,Casa Pasiva LLC  (104casa),104-2C  ,694,2,,,944.48,220,0,0,0,220,42,0,0,0
8,Casa Pasiva LLC  (104casa),104-2D  ,690,2,,,1253,489,0,0,0,489,42,0,0,0
9,Casa Pasiva LLC  (104casa),104-2E  ,861,3,,,1419.99,72,0,0,0,72,55,0,0,0
10,Casa Pasiva LLC  (104casa),104-2F  ,675,2,,,1359.13,364,0,0,0,364,42,0,0,0
11,Casa Pasiva LLC  (104casa),104-3A  ,715,2,,,1056.14,1056.14,0,0,0,1056.14,42,0,0,0
12,Casa Pasiva LLC  (104casa),104-3B  ,665,2,,,0,1333.62,0,0,0,1333.62,42,0,0,0
13,Casa Pasiva LLC  (104casa),104-3C  ,694,2,,,1006.64,161,0,0,0,161,42,0,0,0
14,Casa Pasiva LLC  (104casa),104-3D  ,690,2,,,922.58,297,0,0,0,297,42,0,0,0
15,Casa Pasiva LLC  (104casa),104-3E  ,861,3,,,1200.71,387,0,0,0,387,0,0,0,0
16,Casa Pasiva LLC  (104casa),104-3F  ,675,2,,,1087.87,198,0,0,0,198,42,0,0,0
17,Casa Pasiva LLC  (104casa),104-4A  ,715,2,,,1098.8,0,0,0,0,0,42,0,0,0
18,Casa Pasiva LLC  (104casa),104-4B  ,665,2,Tax Credit,,874.7,875,0,0,0,833,42,0,875,0
19,Casa Pasiva LLC  (104casa),104-4C  ,694,2,Tax Credit,,1089.36,1019,0,0,0,977,42,0,1019,0
20,Casa Pasiva LLC  (104casa),104-4D  ,690,2,,,1114.98,49,0,0,0,49,42,0,0,0
21,Casa Pasiva LLC  (104casa),104-4E  ,861,3,,,1472.24,1632.34,0,0,0,1632.34,55,0,0,0
22,Casa Pasiva LLC  (104casa),104-4F  ,675,2,,,1421.81,534,0,0,0,534,42,0,0,0
23,Casa Pasiva LLC  (104casa),110-1A  ,927,3,,,1757.69,98,0,0,0,98,55,0,0,0
24,Casa Pasiva LLC  (104casa),110-1B  ,951,3,,,1351.86,135,0,0,0,135,55,0,0,0
25,Casa Pasiva LLC  (104casa),110-1C  ,689,2,,,1497.72,100,0,0,0,100,42,0,0,0
26,Casa Pasiva LLC  (104casa),110-1D  ,857,3,,,1246.09,1354.51,0,0,0,1354.51,55,0,0,0
27,Casa Pasiva LLC  (104casa),110-1E  ,674,2,,,1013.81,1070.53,0,0,0,1070.53,42,0,0,0
28,Casa Pasiva LLC  (104casa),110-2A  ,715,2,,,500.55,569.51,0,0,0,569.51,42,0,0,0
29,Casa Pasiva LLC  (104casa),110-2B  ,665,2,,,858.34,915.34,0,0,0,915.34,42,0,0,0
30,Casa Pasiva LLC  (104casa),110-2C  ,694,2,,,971.94,1077.63,0,0,0,1077.63,42,0,0,0
31,Casa Pasiva LLC  (104casa),110-2D  ,690,2,,,1271.7,390,0,0,0,390,42,0,0,0
32,Casa Pasiva LLC  (104casa),110-2E  ,861,3,,,1357.84,771,0,0,0,771,55,0,0,0
