cr51e_property,cr51e_unit,cr51e_squarefeet,cr51e_period,cr51e_bedrooms,cr51e_program,cr51e_contractnumber,cr51e_marketrent,cr51e_grossrent,cr51e_contractrent,cr51e_rdbasicrent,cr51e_subsidy,cr51e_tenantrent,cr51e_utilityallowance,cr51e_optionalcharges,cr51e_ttp,cr51e_utilityreimbursement
Casa Pasiva LLC  (104casa),104-1A  ,55,As of Date: 12/31/2020,3,Tax Credit,,1124.89,1095,0,0,0,1040,55,0,1095,0
Casa Pasiva LLC  (104casa),104-1B  ,0,As of Date: 12/31/2020,3,Tax Credit,,1130.48,1130,0,0,0,1075,55,0,1130,0
Casa Pasiva LLC  (104casa),104-1C  ,0,As of Date: 12/31/2020,2,,,1064.16,390,0,0,0,390,42,0,0,0
Casa Pasiva LLC  (104casa),104-1D  ,0,As of Date: 12/31/2020,3,,,1950,2069.31,0,0,0,2069.31,55,0,0,0
Casa Pasiva LLC  (104casa),104-1E  ,0,As of Date: 12/31/2020,2,Tax Credit,,955.02,879,0,0,0,837,42,0,879,0
Casa Pasiva LLC  (104casa),104-2A  ,0,As of Date: 12/31/2020,2,,,0,0,0,0,0,0,42,0,0,0
Casa Pasiva LLC  (104casa),104-2B  ,0,As of Date: 12/31/2020,2,,,1185.73,692,0,0,0,692,42,0,0,0
Casa Pasiva LLC  (104casa),104-2C  ,0,As of Date: 12/31/2020,2,,,944.48,220,0,0,0,220,42,0,0,0
Casa Pasiva LLC  (104casa),104-2D  ,0,As of Date: 12/31/2020,2,,,1253,489,0,0,0,489,42,0,0,0
Casa Pasiva LLC  (104casa),104-2E  ,0,As of Date: 12/31/2020,3,,,1364.86,72,0,0,0,72,55,0,0,0
Casa Pasiva LLC  (104casa),104-2F  ,0,As of Date: 12/31/2020,2,,,1359.13,364,0,0,0,364,42,0,0,0
Casa Pasiva LLC  (104casa),104-3A  ,0,As of Date: 12/31/2020,2,,,1056.14,1056.14,0,0,0,1056.14,42,0,0,0
Casa Pasiva LLC  (104casa),104-3B  ,0,As of Date: 12/31/2020,2,,,0,1333.62,0,0,0,1333.62,42,0,0,0
Casa Pasiva LLC  (104casa),104-3C  ,0,As of Date: 12/31/2020,2,,,1006.64,161,0,0,0,161,42,0,0,0
Casa Pasiva LLC  (104casa),104-3D  ,0,As of Date: 12/31/2020,2,,,922.58,297,0,0,0,297,42,0,0,0
Casa Pasiva LLC  (104casa),104-3E  ,0,As of Date: 12/31/2020,3,,,1200.71,387,0,0,0,387,0,0,0,0
Casa Pasiva LLC  (104casa),104-3F  ,0,As of Date: 12/31/2020,2,,,1087.87,198,0,0,0,198,42,0,0,0
Casa Pasiva LLC  (104casa),104-4A  ,0,As of Date: 12/31/2020,2,,,1098.8,0,0,0,0,0,42,0,0,0
Casa Pasiva LLC  (104casa),104-4B  ,0,As of Date: 12/31/2020,2,Tax Credit,,874.7,875,0,0,0,833,42,0,875,0
Casa Pasiva LLC  (104casa),104-4C  ,0,As of Date: 12/31/2020,2,Tax Credit,,1089.36,1019,0,0,0,977,42,0,1019,0
Casa Pasiva LLC  (104casa),104-4D  ,0,As of Date: 12/31/2020,2,,,1114.98,49,0,0,0,49,42,0,0,0
Casa Pasiva LLC  (104casa),104-4E  ,0,As of Date: 12/31/2020,3,,,1472.24,1632.34,0,0,0,1632.34,55,0,0,0
Casa Pasiva LLC  (104casa),104-4F  ,0,As of Date: 12/31/2020,2,,,1421.81,534,0,0,0,534,42,0,0,0
Casa Pasiva LLC  (104casa),110-1A  ,0,As of Date: 12/31/2020,3,,,1757.69,98,0,0,0,98,55,0,0,0
Casa Pasiva LLC  (104casa),110-1B  ,0,As of Date: 12/31/2020,3,,,1351.86,135,0,0,0,135,55,0,0,0
Casa Pasiva LLC  (104casa),110-1C  ,0,As of Date: 12/31/2020,2,,,1497.72,100,0,0,0,100,42,0,0,0
Casa Pasiva LLC  (104casa),110-1D  ,0,As of Date: 12/31/2020,3,,,1246.09,1354.51,0,0,0,1354.51,55,0,0,0
Casa Pasiva LLC  (104casa),110-1E  ,0,As of Date: 12/31/2020,2,,,1013.81,1070.53,0,0,0,1070.53,42,0,0,0
Casa Pasiva LLC  (104casa),110-2A  ,0,As of Date: 12/31/2020,2,,,500.55,569.51,0,0,0,569.51,42,0,0,0
Casa Pasiva LLC  (104casa),110-2B  ,0,As of Date: 12/31/2020,2,,,858.34,915.34,0,0,0,915.34,42,0,0,0
Casa Pasiva LLC  (104casa),110-2C  ,0,As of Date: 12/31/2020,2,,,971.94,1077.63,0,0,0,1077.63,42,0,0,0
Casa Pasiva LLC  (104casa),110-2D  ,0,As of Date: 12/31/2020,2,,,1271.7,390,0,0,0,390,42,0,0,0
Casa Pasiva LLC  (104casa),110-2E  ,0,As of Date: 12/31/2020,3,,,1357.84,771,0,0,0,771,55,0,0,0
Casa Pasiva LLC  (104casa),110-2F  ,0,As of Date: 12/31/2020,2,,,1015.55,364,0,0,0,364,42,0,0,0
Casa Pasiva LLC  (104casa),110-3A  ,0,As of Date: 12/31/2020,2,,,1011.19,127,0,0,0,127,42,0,0,0
Casa Pasiva LLC  (104casa),110-3B  ,0,As of Date: 12/31/2020,2,,,745.89,841,0,0,0,841,42,0,0,0
Casa Pasiva LLC  (104casa),110-3C  ,0,As of Date: 12/31/2020,2,,,777.11,169,0,0,0,169,42,0,0,0
Casa Pasiva LLC  (104casa),110-3D  ,0,As of Date: 12/31/2020,2,,,1185.96,567,0,0,0,567,42,0,0,0
Casa Pasiva LLC  (104casa),110-3E  ,0,As of Date: 12/31/2020,3,,,893.27,0,0,0,0,0,55,0,0,0
Casa Pasiva LLC  (104casa),110-3F  ,0,As of Date: 12/31/2020,2,,,914.23,719,0,0,0,719,42,0,0,0
Casa Pasiva LLC  (104casa),110-4A  ,0,As of Date: 12/31/2020,2,,,793.61,911.17,0,0,0,911.17,42,0,0,0
Casa Pasiva LLC  (104casa),110-4B  ,0,As of Date: 12/31/2020,2,,,1299.65,1299.65,0,0,0,1299.65,42,0,0,0
Casa Pasiva LLC  (104casa),110-4C  ,0,As of Date: 12/31/2020,2,,,1078.42,1138.74,0,0,0,1138.74,42,0,0,0
Casa Pasiva LLC  (104casa),110-4D  ,0,As of Date: 12/31/2020,2,,,1684.36,40,0,0,0,40,42,0,0,0
Casa Pasiva LLC  (104casa),110-4E  ,0,As of Date: 12/31/2020,3,Tax Credit,,1563.91,1380.35,0,0,0,1325.35,55,0,1380.35,0
Casa Pasiva LLC  (104casa),110-4F  ,0,As of Date: 12/31/2020,2,,,0,173,0,0,0,173,42,0,0,0
Riseboro TPX LLC (111lind),111-01  ,0,As of Date: 12/31/2020,0,,,0,807.19,0,0,0,807.19,0,0,0,0
Riseboro TPX LLC (111lind),111-02  ,0,As of Date: 12/31/2020,1,,,0,1050.63,0,0,0,1050.63,0,0,0,0
Riseboro TPX LLC (111lind),111-03  ,0,As of Date: 12/31/2020,0,,,0,472.78,0,0,0,472.78,0,0,0,0
Riseboro TPX LLC (111lind),111-04  ,0,As of Date: 12/31/2020,0,,,0,866.77,0,0,0,866.77,0,0,0,0
Riseboro TPX LLC (111lind),111-05  ,0,As of Date: 12/31/2020,0,,,0,1260.75,0,0,0,1260.75,0,0,0,0
Riseboro TPX LLC (111lind),111-06  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (111lind),111-07  ,0,As of Date: 12/31/2020,0,,,0,780.28,0,0,0,780.28,0,0,0,0
Riseboro TPX LLC (111lind),111-08  ,0,As of Date: 12/31/2020,0,,,600,630.38,0,0,0,630.38,0,0,0,0
Riseboro TPX LLC (111lind),111-09  ,0,As of Date: 12/31/2020,0,,,0,630.38,0,0,0,630.38,0,0,0,0
Riseboro TPX LLC (111lind),111-10  ,0,As of Date: 12/31/2020,0,,,0,787.97,0,0,0,787.97,0,0,0,0
Riseboro TPX LLC (111lind),111-11  ,0,As of Date: 12/31/2020,0,,,0,512.5,0,0,0,512.5,0,0,0,0
Riseboro TPX LLC (111lind),111-12  ,0,As of Date: 12/31/2020,0,,,0,1365.81,0,0,0,1365.81,0,0,0,0
Riseboro TPX LLC (111lind),111-14  ,0,As of Date: 12/31/2020,0,,,0,787.97,0,0,0,787.97,0,0,0,0
Riseboro TPX LLC (111lind),111-15  ,0,As of Date: 12/31/2020,0,,,0,900,0,0,0,900,0,0,0,0
Riseboro TPX LLC (111lind),111-16  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (111lind),111-17  ,0,As of Date: 12/31/2020,0,,,0,509.03,0,0,0,509.03,0,0,0,0
Riseboro TPX LLC (111lind),111-18  ,0,As of Date: 12/31/2020,0,,,0,825,0,0,0,825,0,0,0,0
Riseboro TPX LLC (115lind),115-01  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-02  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-03  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-04  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-05  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-06  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-07  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-08  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-09  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-10  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-11  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-12  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-14  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-15  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-16  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-17  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Riseboro TPX LLC (115lind),115-18  ,0,As of Date: 12/31/2020,0,,,0,0,0,0,0,0,0,0,0,0
Casa Pasiva LLC  (120casa),116-01  ,0,As of Date: 12/31/2020,1,,,708.48,770.12,0,0,0,770.12,0,0,0,0
Casa Pasiva LLC  (120casa),116-02  ,0,As of Date: 12/31/2020,1,,,850,946.05,0,0,0,946.05,0,0,0,0
Casa Pasiva LLC  (120casa),116-03  ,0,As of Date: 12/31/2020,2,,,1007.53,1116.37,0,0,0,1116.37,0,0,0,0
Casa Pasiva LLC  (120casa),116-04  ,0,As of Date: 12/31/2020,2,,,1003.18,560,0,0,0,560,0,0,0,0
Casa Pasiva LLC  (120casa),116-05  ,0,As of Date: 12/31/2020,2,,,1732,0,0,0,0,0,0,0,0,0
Casa Pasiva LLC  (120casa),116-06  ,0,As of Date: 12/31/2020,2,,,844.76,171,0,0,0,171,0,0,0,0
