latitude,longitude,n_units
61.58787155,-149.0997772,33
60.12546921,-149.4460602,20
58.38349915,-134.4376984,25
57.79647827,-152.3923187,20
61.20510101,-149.9302979,29
61.59287262,-149.4511414,44
61.59274673,-149.4511414,36
61.58309555,-149.4376373,37
59.70920181,-151.5213013,24
55.34611511,-131.6354218,22
64.85164642,-147.803421,83
57.0488739,-135.3030243,16
60.48914719,-151.0738525,23
61.56985092,-149.4495087,32
58.29968262,-134.4026642,7
61.12559128,-149.8371429,82
61.21799088,-149.8890686,52
61.59607315,-149.1103821,24
61.21799088,-149.8890686,52
55.35012436,-131.6407776,41
61.15990067,-149.8717957,88
58.28224564,-134.4062347,15
61.1370163,-149.8419342,42
60.46509933,-145.0131073,22
61.15178299,-149.8885498,56
61.21940231,-149.8808899,24
64.84108734,-147.7099304,34
61.21009827,-149.8771057,73
58.36036682,-134.5097961,24
64.82985687,-147.7236633,52
58.28001404,-134.4047852,46
60.58029938,-147.690094,20
61.13485336,-149.8613129,48
61.21930313,-149.8088837,80
61.20001984,-149.8994751,8
61.56951523,-149.4486237,24
61.59741974,-149.1103821,24
64.66729736,-165.4683075,17
61.1535759,-149.8842468,79
58.30191803,-134.4084625,23
53.61880112,-166.7805939,16
60.10159302,-149.4368286,18
61.19536591,-149.7719269,100
61.20199585,-149.8630829,180
60.98329926,-149.1614075,30
64.84300232,-147.7159882,184
61.56951523,-149.4486237,26
59.64960098,-139.3825073,20
61.5890274,-149.4504547,24
61.59638977,-149.1308899,32
61.5894165,-149.4468536,40
61.14935684,-149.9112549,60
61.58992004,-149.4447784,32
62.16950989,-163.8714447,10
58.29814148,-134.4013977,23
61.5672493,-149.4490814,26
61.58961105,-149.4504547,17
58.38349915,-134.4376984,25
61.14092636,-149.9468536,125
60.4972229,-151.0764008,26
61.22535706,-149.7145691,53
62.16950989,-163.8714447,10
60.12546921,-149.4460602,20
58.38349915,-134.4376984,37
61.56959152,-149.448761,22
61.20774078,-149.8355255,90
61.2240715,-149.7145386,40
61.18848419,-149.9090729,28
64.84553528,-147.7835083,26
58.38349915,-134.4376984,37
61.59973526,-149.2527771,48
61.22439575,-149.8020782,47
60.56048584,-151.2809143,48
61.58959579,-149.4451599,28
55.3623085,-131.681488,24
61.58787155,-149.0997772,33
61.22439575,-149.8020782,38
55.3716011,-131.6773071,24
61.59482574,-149.111084,31
61.20680237,-149.7368469,80
61.58309555,-149.4376373,34
57.80895233,-152.3656158,128
64.83781433,-147.7463684,74
61.22572708,-149.7137909,59
61.32288361,-149.5764618,57
57.80895233,-152.3656158,110
61.13432312,-149.8329163,20
61.22406769,-149.802063,34
64.83781433,-147.7463684,56
61.20265579,-149.8853302,120
59.64908981,-151.5446777,24
61.13424683,-149.8301239,66
60.49031067,-151.0791626,55
61.32503128,-149.5685272,56
61.13475418,-149.8330841,20
58.28507614,-134.4133759,40
61.13417816,-149.830368,35
58.28507614,-134.4133759,35
30.63748741,-88.19104767,
30.71233368,-88.20755005,92
32.46553802,-85.03268433,
32.44060516,-87.04932404,
33.60755539,-86.29013824,71
32.3539505,-86.22320557,72
34.16250992,-85.69567871,40
30.58595657,-88.1758194,51
32.37195206,-86.29322052,144
33.69997787,-87.82872772,40
31.21551895,-85.40493011,100
32.33526993,-86.30549622,360
31.99950218,-87.29669189,20
31.86805916,-85.1483078,53
32.69966888,-87.61823273,30
32.88491821,-85.41321564,23
32.56009674,-86.19169617,42
31.09882927,-87.08538818,33
33.51066589,-86.84801483,12
32.95000076,-87.15291595,40
34.66921234,-87.30513763,24
32.34445572,-86.31885529,20
34.96865082,-87.38267517,16
31.81209755,-85.95405579,48
34.45944977,-86.94919586,51
34.92388153,-87.26828766,12
32.61336136,-85.47407532,80
30.25815201,-87.71020508,50
33.7440834,-86.81368256,48
34.67700577,-87.30401611,16
33.50338745,-86.79677582,72
34.95675278,-85.72763824,24
33.76596069,-86.48032379,24
34.69387817,-86.62685394,16
33.1797142,-86.27915955,45
32.35095978,-86.30923462,40
31.05374718,-85.8947525,32
33.49585724,-86.84951019,19
33.49378967,-86.85294342,17
33.49189758,-86.855896,15
33.49019623,-86.85855865,13
30.74207115,-88.09207916,100
30.6810627,-88.05193329,72
34.41590118,-86.38700104,48
30.70601845,-88.08602905,83
34.47970963,-87.27877808,29
33.1762352,-87.54769897,51
33.45184708,-86.88154602,18
34.72861099,-86.75083923,91
34.895401,-87.51930237,40
30.72511673,-88.09505463,60
30.42862892,-87.69127655,2
30.42863083,-87.69134521,2
34.47389221,-87.27077484,16
32.88978958,-87.61185455,24
32.9981041,-87.63448334,24
32.18041611,-86.5771637,31
34.49297714,-85.85548401,24
30.72547531,-88.09621429,42
34.63068771,-86.04281616,49
34.76279449,-87.96174622,24
32.6308403,-85.45187378,200
34.82024384,-86.99837494,48
34.07286453,-86.58766174,24
31.89820862,-87.74194336,45
32.42882919,-85.02671051,72
34.72260284,-86.59653473,90
34.22700882,-85.60774231,19
34.16259384,-85.64453125,31
32.30040741,-87.79595947,38
32.86040497,-86.64137268,33
31.70776558,-85.60851288,20
32.42470169,-87.05740356,20
34.15787888,-87.40665436,16
33.54387665,-86.7491684,16
31.4371357,-86.96746063,45
31.30579758,-85.820961,48
34.31455231,-86.51042175,24
33.52305603,-86.82094574,14
34.06522369,-86.76541138,16
34.06523132,-86.76541138,24
32.83837891,-85.75358582,24
33.47772217,-86.90055084,74
33.19505692,-87.57237244,6
30.42862892,-87.69120789,2
30.42863083,-87.6914444,2
31.89943886,-85.15031433,19
31.78075981,-85.56348419,19
34.70403671,-87.53159332,16
34.69841385,-87.52471924,16
33.19615555,-86.22892761,46
33.69386673,-87.82125092,45
34.82885742,-87.28672028,24
32.18133926,-86.58306122,23
31.71587372,-85.60539246,19
34.16102219,-86.84294891,46
31.87330437,-85.46051788,20
32.00223923,-87.3182373,19
33.96440506,-86.45368195,35
34.82015228,-87.29475403,16
34.74178314,-86.64665985,24
32.35159302,-86.32704163,96
33.1797142,-86.27915955,44
33.12794113,-88.16509247,19
33.22996521,-87.57450867,10
31.18963242,-85.37974548,45
31.88634491,-85.1372757,17
33.54939651,-86.82671356,48
33.80425644,-86.81780243,36
34.96669006,-87.38305664,16
34.79000854,-86.59883118,65
33.4824028,-86.86126709,66
31.40084648,-85.61062622,37
34.80154419,-86.98348999,24
31.98062706,-87.5842514,19
32.94786072,-87.15245056,36
33.12198257,-85.57241058,15
31.58614349,-86.25991058,19
34.66370773,-86.59473419,180
33.20669937,-87.49572754,30
34.02739716,-86.31915283,24
33.26714325,-86.35691071,26
33.23272324,-87.59310913,22
33.19927216,-87.57237244,2
32.39467621,-86.25845337,24
31.98959541,-86.57725525,23
32.84415054,-87.91428375,36
31.75307274,-88.08370972,19
34.48714066,-87.73235321,24
33.64791489,-85.58460236,24
31.10162735,-87.08998108,40
31.54232788,-86.71563721,19
31.86951447,-85.15970612,30
31.69179344,-86.26522064,32
34.54911423,-86.43160248,48
31.99171066,-86.5799408,30
32.2416687,-85.41643524,23
34.45713425,-88.14104462,24
32.62399673,-86.0401001,15
34.87355423,-85.82333374,24
31.8778801,-85.43790436,19
32.88567352,-86.22002411,19
31.72722244,-85.82904816,24
34.66209793,-86.049263,24
33.17559814,-87.53304291,22
34.70676422,-86.71754456,204
31.87044144,-85.15996552,18
32.30260468,-86.235466,56
33.31573105,-87.90170288,24
31.64052582,-88.31243896,19
33.31312943,-85.4855423,24
32.4475708,-87.51166534,15
34.62460327,-86.27130127,16
33.22858429,-87.59033966,10
30.42687416,-87.689888,38
33.20714951,-87.50006104,7
31.50520515,-87.30700684,40
31.29265976,-85.105896,14
33.9447937,-87.80938721,47
34.8504982,-87.38452911,24
32.39467621,-86.25845337,16
34.48696518,-87.7324295,24
33.19179916,-87.5565033,1
33.203022,-87.57839966,2
33.19179916,-87.5565033,2
30.29010201,-87.61373138,52
33.48727798,-86.87520599,190
32.88381195,-85.40776062,30
31.63335037,-86.73436737,24
34.85838318,-87.66915131,36
34.95677567,-85.72803497,24
34.68365479,-86.75969696,50
33.59130096,-86.49964142,56
30.29775047,-87.60392761,31
33.45388031,-86.10968781,50
32.30040741,-87.79595947,14
33.42200089,-86.1384964,36
34.0002327,-85.95639038,60
32.95000458,-87.15346527,24
33.1841774,-87.54576874,40
33.49263,-86.86405945,59
32.00205612,-87.31761169,19
33.54560852,-86.77210236,36
32.84703827,-87.92253876,45
33.49291229,-86.87588501,20
33.74347687,-86.16149139,24
32.46019745,-86.46611786,3
31.84690094,-86.62698364,34
32.91884995,-85.93432617,36
33.11505127,-87.12195587,24
30.57864761,-88.18707275,56
32.2817421,-86.73190308,4
33.50396729,-86.86125183,20
32.60390091,-88.19660187,24
32.28206635,-86.73168945,4
34.22471237,-85.59107208,19
32.3061676,-87.24961853,19
31.83056831,-86.61590576,24
32.41925049,-87.00457764,24
31.50324059,-87.90072632,40
34.71290588,-86.59557343,229
32.80427551,-85.65331268,16
32.38552856,-86.26522064,116
33.53083801,-85.94607544,24
34.67682266,-87.3024292,24
32.37110138,-86.28573608,4
32.37109756,-86.28598022,8
32.96084213,-86.74845123,24
31.87403488,-88.31616974,24
32.3925705,-85.74208832,36
34.49777603,-85.84966278,24
33.54113007,-86.81079102,10
33.97094345,-86.06194305,52
33.5042038,-86.85587311,24
33.28530502,-86.36597443,37
31.80727386,-85.9634552,36
33.53829575,-86.87927246,100
33.61273956,-86.75749969,100
32.46908188,-85.02420807,40
34.66209793,-86.049263,24
33.67950058,-87.84355164,50
34.25672531,-85.85945892,24
33.66106033,-86.68451691,240
32.46198654,-86.40936279,56
32.31957626,-86.23893738,88
34.71088028,-86.59382629,87
32.30925751,-86.35260773,56
32.82688522,-85.7625885,24
32.00944138,-87.30610657,36
31.81561279,-85.96095276,40
34.98248291,-86.84318542,24
34.82024384,-86.99720001,40
31.50520515,-87.30700684,24
32.37950134,-86.30670166,84
33.25984955,-88.10328674,50
34.2238884,-85.60459137,24
33.6423645,-86.65837097,50
34.02055359,-86.00075531,50
34.1759758,-86.86322021,40
34.5873909,-85.99330902,12
34.8504982,-87.38452911,24
34.49928284,-85.66650391,24
33.66262054,-86.66875458,104
34.96717072,-87.38344574,16
31.2913475,-87.0287323,24
32.28215027,-86.73175049,8
34.33691025,-86.27899933,20
32.1464653,-85.69459534,24
32.46123123,-86.41811371,136
33.44802856,-86.07772827,32
34.2725563,-85.85523987,24
32.62126923,-85.49826813,40
33.31430435,-85.74816132,24
34.02850342,-86.3290863,32
33.38334656,-88.01920319,24
31.89180374,-87.73652649,48
30.51424599,-87.88240814,50
31.21695518,-85.40306854,72
33.66546249,-86.6886673,200
32.48923874,-88.3089447,50
33.45631027,-86.08751678,50
33.45631027,-86.08751678,50
32.46198654,-86.40936279,32
33.29514694,-85.48257446,24
34.71110153,-86.59593201,32
34.71088028,-86.59382629,16
34.70418167,-86.62684631,112
32.09590149,-88.20903778,44
34.07286453,-86.58766174,24
31.3304081,-85.81397247,56
33.96495438,-85.94900513,48
31.70783615,-87.79228973,32
32.50656891,-87.83169556,32
34.2339592,-87.59962463,48
32.36108398,-86.30030823,4
34.54986191,-86.98582458,54
31.44704056,-85.66610718,48
33.17131042,-86.25769806,20
32.94785309,-87.15195465,24
33.42705154,-86.09375,30
34.74401093,-87.70603943,105
32.41925049,-87.00457764,8
31.5354023,-87.89134216,48
32.66537476,-85.35998535,104
33.1688118,-86.61135101,40
31.14099121,-87.06981659,56
34.55247498,-86.98427582,56
30.55584908,-87.70536041,40
32.94642639,-85.9537735,42
34.13091278,-87.98098755,40
31.70243835,-86.26091766,32
33.93343353,-86.47106934,32
34.55554581,-86.98599243,136
32.32988358,-86.18070221,32
34.44163895,-88.13773346,57
33.85667419,-87.29166412,40
32.43750381,-87.01465607,52
32.30925751,-86.35260773,20
34.49750519,-87.72996521,40
32.39934921,-85.74202728,40
30.69129944,-88.04750061,104
32.12401199,-85.71791077,32
34.81810379,-87.26583099,28
33.51658249,-86.8181076,56
32.93722153,-85.9731369,56
34.68355179,-85.84062195,12
31.25790215,-85.40936279,56
32.39467621,-86.25845337,24
33.35726166,-87.0065918,136
33.74658585,-88.11862946,40
34.8780899,-85.81623077,24
34.23703384,-87.60227966,32
33.80755615,-85.75376129,42
34.13415146,-87.40107727,16
34.72550964,-87.67919159,56
32.63612747,-87.33000946,42
33.8817482,-88.14435577,24
32.32097244,-86.29627228,24
34.33483124,-86.318573,48
34.49877548,-85.66461945,24
34.23703384,-87.60227966,48
34.69134903,-86.6206131,58
31.08023071,-87.05960846,24
33.59581375,-86.2877655,48
33.16757584,-87.51049042,48
31.03016663,-87.49591827,32
32.48865128,-87.81152344,30
32.40472412,-85.73171234,52
32.52394485,-86.37483215,136
34.48801041,-85.85679626,24
34.78108215,-86.97646332,50
34.55554581,-86.98599243,56
32.47887039,-86.41822052,56
32.31957626,-86.23893738,80
32.44039154,-87.01191711,45
34.48648834,-87.28259277,24
30.74265289,-88.1081543,56
33.43722916,-86.94482422,30
33.57259369,-86.51406097,96
33.63567352,-86.70298004,88
34.15893555,-85.68775177,40
32.87390137,-87.73338318,24
34.27560043,-86.24880981,56
32.48108673,-85.11499023,96
32.64973068,-85.35501099,120
32.42988968,-85.03079987,48
34.81892395,-87.29438782,35
32.80355453,-85.17851257,56
30.57919121,-88.18621063,40
31.8166523,-86.616539,40
30.8728714,-87.78482819,56
31.45799446,-88.26078796,24
34.64630127,-86.02887726,36
32.43125916,-85.69158936,40
34.49925613,-87.73479462,10
33.54180145,-86.55436707,30
31.08558083,-87.07534027,40
31.30576515,-86.50120544,56
32.30260468,-86.235466,112
30.66865921,-88.21456909,136
33.52457428,-86.72686768,90
33.63567352,-86.70298004,56
33.59996796,-86.28868866,80
34.19443512,-87.19553375,12
31.79538918,-85.96780396,44
31.35004234,-85.33080292,24
34.07049179,-86.77355194,32
34.26701355,-86.22027588,40
33.69480515,-87.82402039,44
30.66325951,-88.13512421,154
32.39467621,-86.25845337,20
